iso2_code,year,quarter,num_repos
AR,2020,1,608445
AR,2020,2,670189
AR,2020,3,737110
AR,2020,4,802976
AR,2021,1,867545
AR,2021,2,965194
AR,2021,3,1070330
AR,2021,4,1180271
AR,2022,1,1312481
AR,2022,2,1514018
AR,2022,3,1692345
AR,2022,4,1827329
AR,2023,1,1972535
AR,2023,2,2158627
AR,2023,3,2297445
AR,2023,4,2456325
AR,2024,1,2557620
AR,2024,2,2695815
AR,2024,3,2816763
AR,2024,4,2910039
AR,2025,1,3003205
AR,2025,2,3158220
AR,2025,3,3309686
AR,2025,4,3471573
AR,2026,1,3598412
BO,2020,1,83547
BO,2020,2,91412
BO,2020,3,99402
BO,2020,4,107779
BO,2021,1,115654
BO,2021,2,125608
BO,2021,3,135692
BO,2021,4,145958
BO,2022,1,155711
BO,2022,2,168154
BO,2022,3,177505
BO,2022,4,190767
BO,2023,1,202513
BO,2023,2,216026
BO,2023,3,228538
BO,2023,4,243863
BO,2024,1,257718
BO,2024,2,277189
BO,2024,3,295797
BO,2024,4,317197
BO,2025,1,336333
BO,2025,2,365805
BO,2025,3,393828
BO,2025,4,429100
BO,2026,1,453816
BR,2020,1,3602025
BR,2020,2,3977667
BR,2020,3,4359081
BR,2020,4,4698298
BR,2021,1,5097515
BR,2021,2,5585692
BR,2021,3,6143363
BR,2021,4,6636791
BR,2022,1,7259627
BR,2022,2,7901798
BR,2022,3,8587243
BR,2022,4,9205113
BR,2023,1,9861234
BR,2023,2,10568833
BR,2023,3,11279341
BR,2023,4,11946851
BR,2024,1,12598335
BR,2024,2,13438772
BR,2024,3,14364770
BR,2024,4,15242618
BR,2025,1,15992738
BR,2025,2,17051466
BR,2025,3,18066640
BR,2025,4,18948497
BR,2026,1,19918250
CL,2020,1,353627
CL,2020,2,381996
CL,2020,3,416534
CL,2020,4,447182
CL,2021,1,476210
CL,2021,2,516332
CL,2021,3,550327
CL,2021,4,580937
CL,2022,1,615987
CL,2022,2,662314
CL,2022,3,704115
CL,2022,4,745778
CL,2023,1,782678
CL,2023,2,836314
CL,2023,3,880521
CL,2023,4,928630
CL,2024,1,969373
CL,2024,2,1027903
CL,2024,3,1081836
CL,2024,4,1137919
CL,2025,1,1181333
CL,2025,2,1254939
CL,2025,3,1331235
CL,2025,4,1417107
CL,2026,1,1485256
CO,2020,1,678828
CO,2020,2,754217
CO,2020,3,831521
CO,2020,4,906309
CO,2021,1,985427
CO,2021,2,1071589
CO,2021,3,1177190
CO,2021,4,1295439
CO,2022,1,1404443
CO,2022,2,1511733
CO,2022,3,1641050
CO,2022,4,1779307
CO,2023,1,1921849
CO,2023,2,2067048
CO,2023,3,2200537
CO,2023,4,2321957
CO,2024,1,2446835
CO,2024,2,2591481
CO,2024,3,2757754
CO,2024,4,2911711
CO,2025,1,3071171
CO,2025,2,3268960
CO,2025,3,3497331
CO,2025,4,3716648
CO,2026,1,3935528
EC,2020,1,138828
EC,2020,2,153193
EC,2020,3,169760
EC,2020,4,185201
EC,2021,1,202505
EC,2021,2,221886
EC,2021,3,244612
EC,2021,4,263302
EC,2022,1,285145
EC,2022,2,308279
EC,2022,3,332621
EC,2022,4,355371
EC,2023,1,382366
EC,2023,2,411881
EC,2023,3,437206
EC,2023,4,465305
EC,2024,1,495279
EC,2024,2,529854
EC,2024,3,563309
EC,2024,4,599489
EC,2025,1,641690
EC,2025,2,696789
EC,2025,3,748209
EC,2025,4,806485
EC,2026,1,866721
GF,2020,1,849
GF,2020,2,1019
GF,2020,3,859
GF,2020,4,884
GF,2021,1,1092
GF,2021,2,1198
GF,2021,3,1195
GF,2021,4,1316
GF,2022,1,1378
GF,2022,2,1720
GF,2022,3,1967
GF,2022,4,1809
GF,2023,1,2000
GF,2023,2,1988
GF,2023,3,1992
GF,2023,4,2036
GF,2024,1,2161
GF,2024,2,2232
GF,2024,3,2320
GF,2024,4,2792
GF,2025,1,3065
GF,2025,2,3396
GF,2025,3,3095
GF,2025,4,3852
GF,2026,1,4194
GY,2020,1,2090
GY,2020,2,2167
GY,2020,3,2297
GY,2020,4,2678
GY,2021,1,2874
GY,2021,2,3242
GY,2021,3,3418
GY,2021,4,3674
GY,2022,1,3996
GY,2022,2,4175
GY,2022,3,4409
GY,2022,4,4430
GY,2023,1,4560
GY,2023,2,4778
GY,2023,3,4978
GY,2023,4,5531
GY,2024,1,5669
GY,2024,2,5908
GY,2024,3,6317
GY,2024,4,6457
GY,2025,1,7650
GY,2025,2,8092
GY,2025,3,8710
GY,2025,4,9300
GY,2026,1,9645
PE,2020,1,356948
PE,2020,2,391794
PE,2020,3,424103
PE,2020,4,456011
PE,2021,1,485312
PE,2021,2,527124
PE,2021,3,567869
PE,2021,4,609800
PE,2022,1,652580
PE,2022,2,704939
PE,2022,3,753704
PE,2022,4,805264
PE,2023,1,852209
PE,2023,2,913172
PE,2023,3,969559
PE,2023,4,1021424
PE,2024,1,1070001
PE,2024,2,1138879
PE,2024,3,1207493
PE,2024,4,1280517
PE,2025,1,1336842
PE,2025,2,1439611
PE,2025,3,1540677
PE,2025,4,1648544
PE,2026,1,1726117
PY,2020,1,29848
PY,2020,2,32439
PY,2020,3,35277
PY,2020,4,38083
PY,2021,1,40556
PY,2021,2,43505
PY,2021,3,47050
PY,2021,4,49690
PY,2022,1,53735
PY,2022,2,57150
PY,2022,3,60167
PY,2022,4,64814
PY,2023,1,70083
PY,2023,2,77151
PY,2023,3,83107
PY,2023,4,83370
PY,2024,1,89561
PY,2024,2,100312
PY,2024,3,109095
PY,2024,4,120570
PY,2025,1,126185
PY,2025,2,133275
PY,2025,3,141756
PY,2025,4,153039
PY,2026,1,163202
SR,2020,1,1656
SR,2020,2,1858
SR,2020,3,2146
SR,2020,4,2356
SR,2021,1,2865
SR,2021,2,3124
SR,2021,3,3014
SR,2021,4,3091
SR,2022,1,3406
SR,2022,2,3584
SR,2022,3,4005
SR,2022,4,4176
SR,2023,1,4450
SR,2023,2,4661
SR,2023,3,4851
SR,2023,4,4980
SR,2024,1,5162
SR,2024,2,5389
SR,2024,3,5461
SR,2024,4,5584
SR,2025,1,5915
SR,2025,2,6277
SR,2025,3,6580
SR,2025,4,6953
SR,2026,1,7373
UY,2020,1,65571
UY,2020,2,70318
UY,2020,3,76842
UY,2020,4,86919
UY,2021,1,93211
UY,2021,2,96591
UY,2021,3,104751
UY,2021,4,112746
UY,2022,1,124049
UY,2022,2,135330
UY,2022,3,149288
UY,2022,4,160292
UY,2023,1,172686
UY,2023,2,181190
UY,2023,3,198316
UY,2023,4,209424
UY,2024,1,215937
UY,2024,2,226058
UY,2024,3,238183
UY,2024,4,251275
UY,2025,1,257655
UY,2025,2,269567
UY,2025,3,284550
UY,2025,4,301166
UY,2026,1,309547
VE,2020,1,104299
VE,2020,2,111811
VE,2020,3,121298
VE,2020,4,129941
VE,2021,1,141092
VE,2021,2,153270
VE,2021,3,165237
VE,2021,4,175078
VE,2022,1,190373
VE,2022,2,203298
VE,2022,3,221382
VE,2022,4,234444
VE,2023,1,255496
VE,2023,2,273051
VE,2023,3,288355
VE,2023,4,304615
VE,2024,1,321927
VE,2024,2,339253
VE,2024,3,353254
VE,2024,4,362967
VE,2025,1,380857
VE,2025,2,403230
VE,2025,3,421440
VE,2025,4,438426
VE,2026,1,460235
